Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Class
1.0723789,0.97318226,1.0818464,1.2246702,0.7812891,0.1166362,0.3427946,1.2963085,1.1428075,0.28568283,0.37024522,0.76919276,0.8142435,0.38718694,0.49300838,0.58715355,0.34418264,0.32030132,0.29439217,0.48080075,S
1.0723789,0.8645159,0.7102995,1.2246702,0.7812891,0.025422411,0.33620688,1.2963085,1.1428075,0.21904795,0.0893652,0.76919276,0.8142435,0.34777197,0.30187657,0.58715355,0.34418264,0.10943554,0.15865465,0.48080075,S
0.7110189,0.58747286,0.4742278,1.2246702,0.59357923,0.58062273,0.32889912,1.2963085,1.0731777,0.45229197,0.5060363,0.76919276,0.825544,0.46533865,0.44535086,0.58715355,0.12758385,0.10270439,0.11344698,0.48080075,S
0.7110189,0.86342335,0.6844927,1.2246702,0.59357923,0.8485662,0.43422964,1.2963085,1.0731777,0.2728835,0.49311048,0.76919276,0.825544,0.44029114,0.34308425,0.58715355,0.12758385,0.06384583,0.039034337,0.48080075,S
0.7110189,-0.07339937,0.15025263,1.2246702,0.59357923,0.039678086,-0.2926039,1.2963085,1.0731777,0.036487106,-0.06289616,0.76919276,0.825544,0.51695085,0.43355358,0.58715355,0.12758385,0.18438075,-0.07308525,0.48080075,S
0.7110189,0.7806031,0.47491202,1.2246702,0.59357923,0.723217,0.24464607,1.2963085,1.0731777,0.6614009,0.22691512,0.76919276,0.825544,0.48016343,0.5083864,0.58715355,0.12758385,0.1663379,0.06739203,0.48080075,S
0.66309804,0.7309416,0.31363747,0.48208818,0.31105006,0.7770584,0.17525671,0.6582924,0.8276571,0.69383025,0.19548129,0.7243467,0.7145402,0.41235706,0.29979634,0.52805734,0.41982695,-0.009557076,0.08365009,0.44126496,S
0.7452154,0.633059,0.21634127,0.5270631,0.634681,0.25307906,0.0910207,0.5342687,0.87616783,0.56647146,0.56900793,0.738668,0.77728957,0.35158974,0.30471504,0.52791995,0.39885923,0.027172742,-0.05006961,0.44660836,S
0.30130234,0.76007724,-0.10352643,0.58625555,0.30320418,0.14440098,-0.041350175,0.34008577,0.90452677,0.38243255,0.56232136,0.6397051,0.7698274,0.38885328,0.41180134,0.65398693,0.31113088,0.08984555,-0.035012934,0.22487667,S
0.89579767,0.49170703,0.50351924,0.6060693,0.8283006,0.36877576,0.33325166,0.5963382,1.1277719,0.5132394,0.7124933,0.95320183,0.7843894,0.3763727,0.35923135,0.68281096,0.25329596,0.13319731,0.021307414,0.35339233,S
1.297064,0.79054743,0.846321,0.82452697,1.2373933,0.69753444,0.7338731,0.7870305,1.3534346,0.48442078,0.717633,0.99977654,0.81441253,0.396401,0.58911186,0.6972517,0.31878704,0.18454699,-0.10067662,0.49509194,S
0.97470397,1.0111434,0.8673859,0.95506555,1.2622817,0.78934616,0.55698293,0.7646696,1.0552733,0.56530535,0.5159092,0.70339495,0.8835836,0.53724486,0.6282379,0.5922309,0.5810453,0.36432853,0.23789819,0.45514137,S
0.931346,1.093404,1.1516027,0.95506555,1.4271772,0.9260638,0.57029307,0.7646696,1.0685941,0.5510772,0.14345135,0.70339495,0.80708015,0.6316988,0.66612977,0.5922309,0.68888676,0.4711792,0.56120586,0.45514137,S
0.7984133,-0.22061825,0.07454522,0.8728745,1.3206317,-0.52426976,-0.20357975,0.7123301,1.0315638,0.06945344,0.2600788,0.7275308,0.6568521,0.4839517,0.38037753,0.7906032,0.6538257,0.011625344,-0.13693912,0.3370477,S
1.0860236,0.66232306,0.8143737,0.9934374,0.97747344,0.5753867,0.3932019,0.6996688,0.82278645,0.5064241,0.47987774,0.9487952,0.96974236,0.4690529,0.4772069,0.7835199,0.5440858,0.18627076,0.24390392,0.3184517,S
1.0860236,0.9224092,0.97992927,1.1041968,0.97747344,0.5807534,0.44125208,0.6914096,0.82278645,0.48581615,0.48905313,0.8499496,0.96974236,0.43901214,0.53733456,0.840073,0.5440858,0.20827839,0.4222017,0.31329378,S
1.1358618,0.7528224,0.58659446,1.3170966,0.6827121,-0.33883327,-0.083019644,1.1325023,1.4575984,0.04998013,0.14110011,1.4966172,0.8162993,0.506484,0.503125,0.91992617,0.11257864,0.20699838,0.27452388,0.3319904,S
1.2257243,0.7642285,0.44647598,0.86980826,0.81231695,-0.36251947,-0.049529467,0.5627172,1.4773867,0.21200992,0.17274493,1.3354826,0.8626642,0.47802094,0.41036186,0.7896422,0.23121782,0.34703803,0.20863345,0.4993282,S
